timestamp_utc,btc_gdelt_sentiment_mean,btc_gdelt_sentiment_std,btc_gdelt_news_volume,btc_gdelt_positive_ratio,btc_gdelt_negative_ratio,btc_gdelt_avg_confidence
2026-04-25 05:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9251812100410461
2026-04-25 14:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.898694634437561
2026-04-26 12:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.620935320854187
2026-04-26 14:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.951594352722168
2026-04-26 17:00:00+00:00,0.3333333333333333,0.5773502691896258,3.0,0.3333333333333333,0.0,0.7061145802338918
2026-04-26 18:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8812286257743835
2026-04-26 23:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.507562518119812
2026-04-27 03:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.8420178890228271
2026-04-27 11:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.8149637579917908
2026-04-27 12:00:00+00:00,-0.5,0.7071067811865476,2.0,0.0,0.5,0.5784188807010651
2026-04-27 14:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.8130139708518982
2026-04-27 16:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.7150970101356506
2026-04-27 17:00:00+00:00,-0.5,0.7071067811865476,2.0,0.0,0.5,0.5898860991001129
2026-04-27 19:00:00+00:00,0.5,0.7071067811865476,2.0,0.5,0.0,0.7062471508979797
2026-04-27 21:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.9456269145011902
2026-04-28 00:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.6643451452255249
2026-04-28 02:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.5358748435974121
2026-04-28 03:00:00+00:00,-1.0,0.0,2.0,0.0,1.0,0.8594411313533783
2026-04-28 06:00:00+00:00,-1.0,0.0,1.0,0.0,1.0,0.925543487071991
2026-04-28 16:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.7653303146362305
2026-04-28 17:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.4978826642036438
2026-04-28 21:00:00+00:00,0.5,0.5773502691896257,4.0,0.5,0.0,0.7500439137220383
2026-04-28 23:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.9062893390655518
2026-04-29 02:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.7039225101470947
2026-04-29 03:00:00+00:00,1.0,0.0,1.0,1.0,0.0,0.736778199672699
2026-04-29 13:00:00+00:00,-1.0,0.0,2.0,0.0,1.0,0.7040054202079773
