asset,timestamp_utc,open,high,low,close,price,ohlc_source,action,action_name,direction,size_label,risk_profile,position_fraction,leverage_used,effective_position,margin_used,cash_balance,cash,desired_position,executed_position,previous_position,portfolio_value,previous_portfolio_value,portfolio_return,drawdown,in_position,trade_side,trade_id,entry_price,tp_price,sl_price,risk_reward_ratio,entry_time_utc,holding_bars,exit_reason,unrealized_pnl,realized_pnl,step_return,reward_total,transaction_cost,turnover,stop_loss_triggered,take_profit_triggered,max_hold_triggered,max_drawdown_triggered,max_favorable_excursion,max_adverse_excursion,predicted_log_return,signal_strength,reward_pnl,reward_transaction_cost,reward_drawdown_penalty,reward_overtrading_penalty,reward_missed_opportunity_penalty,reward_wrong_side_penalty,reward_tp_bonus,reward_sl_penalty,reward
OIL,2026-03-29 02:15:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.352756258820591e-07,6.352756258820591e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 02:30:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.350612125061161e-07,6.350612125061161e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 02:45:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.348619194795901e-07,6.348619194795901e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 03:00:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.346750751617947e-07,6.346750751617947e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 03:15:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.345014753605938e-07,6.345014753605938e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 03:30:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.343393010865839e-07,6.343393010865839e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 03:45:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.341880407489953e-07,6.341880407489953e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 04:00:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.340461027320998e-07,6.340461027320998e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 04:15:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.339136575661541e-07,6.339136575661541e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 04:30:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.337901368169696e-07,6.337901368169696e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 04:45:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.336749720503576e-07,6.336749720503576e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 05:00:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.33568220109737e-07,6.33568220109737e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 05:15:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.334686304398929e-07,6.334686304398929e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 05:30:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.333758051368932e-07,6.333758051368932e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 05:45:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.33289289453387e-07,6.33289289453387e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 06:00:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.332093676064687e-07,6.332093676064687e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 06:15:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.331348458843422e-07,6.331348458843422e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,2026-03-29 06:30:00+00:00,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,101.18000030517578,reconstructed,"[0,2,1]",HOLD,HOLD,LARGE,,0.0,1.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.0,0.0,15766.345698862227,15766.345698862227,0.0,0.005057781164399711,False,0,89,,,,0.0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,0.0,6.33065894817264e-07,6.33065894817264e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
