trade_id,asset,side,entry_time,exit_time,holding_bars,entry_price,exit_price,high_during_trade,low_during_trade,position_fraction,leverage_used,effective_position,notional_value,margin_used,tp_price,sl_price,risk_reward_ratio,exit_reason,gross_pnl,transaction_cost_total,net_pnl,return_pct,reward_total,reward_pnl_total,reward_transaction_cost_total,reward_drawdown_penalty_total,reward_overtrading_penalty_total,reward_missed_opportunity_penalty_total,reward_wrong_side_penalty_total,reward_tp_bonus_total,reward_sl_penalty_total,portfolio_value_before,portfolio_value_after,max_favorable_excursion,max_adverse_excursion,predicted_log_return_at_entry,signal_strength_at_entry,direction_action_at_entry,size_label_at_entry,risk_profile_at_entry
211,GOLD,LONG,2026-02-06 20:00:00+00:00,2026-02-06 20:15:00+00:00,1,4977.2001953125,4977.2001953125,4977.2001953125,4977.2001953125,0.25,1.5,0.375,3370.8168316104093,2500.0,5085.479986190796,4912.2323207855225,1.6666666666666667,AGENT_REVERSE,0.0,16.854084158052046,-16.854084158052046,-0.005,-0.15358981959189424,0.0,0.001875,0.11421481959189425,0.0375,0.0,0.0,0.0,0.0,8988.844884294425,8971.990800136373,0.0,0.0,0.0,0.0,LONG,SMALL,BALANCED
212,GOLD,SHORT,2026-02-06 20:15:00+00:00,2026-02-06 21:00:00+00:00,3,4977.2001953125,4988.60009765625,4992.10009765625,4970.10009765625,1.0,1.5,1.5,13457.98620020456,10000.0,4906.2458152771,5019.77282333374,1.6666666666666667,AGENT_REVERSE,-30.82450422033596,26.915972400409117,-57.74047662074508,-0.004290424715985177,-0.400842405942944,0.003435637073977766,0.003,0.3411635217811225,0.06,0.0,0.00011452123579925886,0.0,0.0,8971.990800136373,8914.250323515627,0.0,-0.002290424715985177,0.0,0.0,SHORT,LARGE,BALANCED
213,GOLD,LONG,2026-02-06 21:00:00+00:00,2026-02-07 09:00:00+00:00,48,4988.60009765625,4988.60009765625,4988.60009765625,4988.60009765625,1.0,1.5,1.5,13469.14679771361,10000.0,5093.074193954468,4925.915639877319,1.6666666666666667,MAX_HOLD,0.0,13.469146797713611,-13.469146797713611,-0.001,-5.4454072638481374,0.0,0.0015,5.413907263848138,0.03,0.0,0.0,0.0,0.0,8979.43119847574,8965.962051678027,0.0,0.0,0.0,0.0,LONG,LARGE,BALANCED
214,GOLD,LONG,2026-02-07 09:15:00+00:00,2026-02-07 21:15:00+00:00,48,4988.60009765625,4988.60009765625,4988.60009765625,4988.60009765625,1.0,1.5,1.5,13448.94307751704,10000.0,5059.55447769165,4946.02746963501,1.6666666666666667,MAX_HOLD,0.0,26.877712740417806,-26.877712740417806,-0.0019985000000000003,-5.852164182948725,0.0,0.003,5.789164182948725,0.06,0.0,0.0,0.0,0.0,8965.962051678027,8939.08433893761,0.0,0.0,0.0,0.0,LONG,LARGE,BALANCED
215,GOLD,LONG,2026-02-07 21:30:00+00:00,2026-02-08 09:30:00+00:00,48,4988.60009765625,4988.60009765625,4988.60009765625,4988.60009765625,1.0,1.5,1.5,13408.626508406414,10000.0,5059.55447769165,4946.02746963501,1.6666666666666667,MAX_HOLD,0.0,26.79714007705022,-26.79714007705022,-0.0019985,-6.113900241019274,0.0,0.003,6.050900241019274,0.06,0.0,0.0,0.0,0.0,8939.08433893761,8912.28719886056,0.0,0.0,0.0,0.0,LONG,LARGE,BALANCED
216,GOLD,LONG,2026-02-08 09:45:00+00:00,2026-02-08 21:45:00+00:00,48,4988.60009765625,4988.60009765625,4988.60009765625,4988.60009765625,1.0,1.5,1.5,13368.43079829084,10000.0,5059.55447769165,4946.02746963501,1.6666666666666667,MAX_HOLD,0.0,26.71680895038424,-26.71680895038424,-0.0019985,-6.374851679821756,0.0,0.003,6.311851679821755,0.06,0.0,0.0,0.0,0.0,8912.28719886056,8885.570389910175,0.0,0.0,0.0,0.0,LONG,LARGE,BALANCED
217,GOLD,LONG,2026-02-08 22:00:00+00:00,2026-02-08 23:00:00+00:00,4,4988.60009765625,5057.39990234375,5069.0,4988.60009765625,1.0,1.5,1.5,13328.355584865263,10000.0,5059.55447769165,4946.02746963501,1.6666666666666667,AGENT_RESIZE,183.81675081053308,22.200597619190575,161.6161531913425,0.01212573840503343,-0.7039890983176453,0.006895702535850048,0.0025,0.6583848008534953,0.05,0.0,0.0,0.0,0.0,8885.570389910175,9047.186543101518,0.013791405071700095,0.0,0.0,0.0,LONG,LARGE,BALANCED
218,GOLD,LONG,2026-02-08 23:00:00+00:00,2026-02-09 00:45:00+00:00,7,5057.39990234375,5041.2001953125,5068.0,5033.10009765625,0.25,2.0,0.5,4466.163408824743,2500.0,5235.589950561523,4968.304878234863,2.0,AGENT_REVERSE,-14.305876571698484,23.407779231269426,-37.71365580296791,-0.008444307194055879,-0.9292521260309962,-0.001201188407881976,0.002625,0.8727657791687298,0.052500000000000005,0.0,0.00016015845438426349,0.0,0.0,8932.326817649486,8894.613161846517,0.0,-0.0032031690876852693,0.0,0.0,LONG,SMALL,AGGRESSIVE
219,GOLD,SHORT,2026-02-09 00:45:00+00:00,2026-02-09 01:15:00+00:00,2,5041.2001953125,5002.2998046875,5064.2001953125,4997.0,1.0,1.5,1.5,13345.360731509092,10000.0,4970.2458152771,5083.77282333374,1.6666666666666667,AGENT_REVERSE,102.97939486115932,27.037963689135825,75.9414311720235,0.005690474217959641,-0.26904910307110697,0.01157474087058804,0.003,0.21762384394169498,0.06,0.0,0.0,0.0,0.0,8896.907154339395,8972.848585511418,0.00771649391372536,0.0,0.0,0.0,SHORT,LARGE,BALANCED
220,GOLD,LONG,2026-02-09 01:15:00+00:00,2026-02-09 01:45:00+00:00,2,5002.2998046875,5002.2998046875,5002.2998046875,5002.2998046875,1.0,1.5,1.5,13478.42489903421,10000.0,5073.2541847229,4959.72717666626,1.6666666666666667,AGENT_REVERSE,0.0,26.95684979806842,-26.95684979806842,-0.002,-0.29137097240987,0.0,0.003,0.22837097240986998,0.06,0.0,0.0,0.0,0.0,8985.616599356139,8958.65974955807,0.0,0.0,0.0,0.0,LONG,LARGE,BALANCED
221,GOLD,SHORT,2026-02-09 01:45:00+00:00,2026-02-09 02:00:00+00:00,1,5002.2998046875,5026.60009765625,5037.2001953125,4989.2998046875,1.0,1.5,1.5,13437.989624337104,10000.0,4931.3454246521,5044.87243270874,1.6666666666666667,AGENT_REVERSE,-65.27939098660525,17.91731949911614,-83.19671048572138,-0.006191157517717274,-0.15541396776286986,0.0024289120921919703,0.002,0.11559998864584264,0.04,0.0,0.00024289120921919705,0.0,0.0,8958.65974955807,8875.463039072349,0.0,-0.004857824184383941,0.0,0.0,SHORT,LARGE,BALANCED
